N_d	W_d	N_sch	W_sch	N_trns	W_trns
0.0	0.0	1.0	0.0	0.0180113432065	0.00894073352562
0.0	0.0	1.0	0.0	0.00787152426191	0.00111133647028
0.0	0.0	1.0	0.0	0.00212857575099	0.00176911130131
0.0	0.0	0.0481334858714	0.0	0.000105416585365	0.0
0.0	0.0	0.0	0.0	0.000105416585365	0.000650949315616
359.688504937	317.78573544	1.0	1.0	3.6	3.6
516.235853704	457.926218131	1.0	1.0	3.6	3.6
573.641840456	509.335768888	1.0	1.0	3.6	3.6
516.235853704	457.926218131	1.0	1.0	3.6	3.6
359.688504937	317.78573544	1.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	0.818428151346	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	1.0	0.0	3.6	3.6
0.0	0.0	1.0	0.0	3.6	3.6
0.0	0.0	1.0	0.0	3.6	3.6
0.0	0.0	1.0	0.0	2.32272559817	2.28615468808
0.0	0.0	1.0	0.0	0.773371203852	0.761139195138
0.0	0.0	1.0	0.0	0.257915818268	0.253836478052
0.0	0.0	1.0	0.0	0.085133290692	0.0847768726422
0.0	0.0	1.0	0.0	0.0296025248632	0.0284768282018
0.0	0.0	1.0	0.0	0.0102255419652	0.00981435093195
0.0	0.0	1.0	0.0	0.00127385624889	0.00121992743564
0.0	0.0	3.01980662698e-14	0.0	0.000954732115985	0.000916244837997
0.0	0.0	0.0	0.0	0.000954732115985	0.000916244837997
154.820140397	158.357566884	0.607715649167	0.0	1.21969775091	1.25972158634
221.218001553	227.148529586	0.864837192025	1.0	2.97855091456	3.08258175108
245.555468143	252.372784148	0.958279890777	1.0	3.56060723095	3.6
221.218001553	227.148529586	0.864400723863	1.0	3.51962072337	3.6
154.820140397	158.357566884	0.607363692234	1.0	2.84605956586	3.03432197812
0.0	0.0	0.0	1.0	1.08103773835	1.14458358621
0.0	0.0	0.0	1.0	0.0	0.00981545146942
0.0	0.0	0.0	1.0	0.0	0.00223921891532
0.0	0.0	0.0	1.0	0.0	0.000828109668877
0.0	0.0	0.0	1.0	2.01924429401e-05	0.000828109668877
0.0	0.0	0.0	0.253720649168	2.22866331074e-05	0.000980185431105
0.0	0.0	0.0	0.0	1.04709508369e-06	7.60378811141e-05
0.0	0.0	1.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0	2.39316848205e-06	9.40089734703e-05
0.0	0.0	1.0	0.0	4.11330026491e-06	0.000179032400763
0.0	0.0	1.0	0.0	8.60065891435e-07	4.25117136461e-05
