NASA_sch	WRDC_sch	NASA_trns	WRDC_trns
2879.12070686	1186.77304003	3.6	3.6
2899.65750744	1551.11380466	3.6	3.6
2878.12070686	1185.77304003	3.6	3.6
2898.65750744	1550.11380466	3.6	3.6
2877.12070686	1184.77304003	3.6	3.6
2897.65750744	1549.11380466	3.6	3.6
2876.12070686	1183.77304003	3.6	3.6
2896.65750744	1548.11380466	3.6	3.6
2875.12070686	1182.77304003	3.6	3.6
2895.65750744	1547.11380466	3.6	3.6
2874.12070686	1181.77304003	3.6	3.6
2894.65750744	1546.11380466	3.6	3.6
2873.12070686	1180.77304003	3.6	3.6
2893.65750744	1545.11380466	3.6	3.6
2872.12070686	1179.77304003	3.6	3.6
2892.65750744	1544.11380466	3.6	3.6
2871.12070686	1178.77304003	3.6	3.6
2891.65750744	1543.11380466	3.6	3.6
2870.12070686	1177.77304003	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
3024.12349115	1259.91286654	3.6	3.6
3065.22637919	1656.87804815	3.6	3.6
3023.12349115	1258.91286654	3.6	3.6
3064.22637919	1655.87804815	3.6	3.6
3022.12349115	1257.91286654	3.6	3.6
3063.22637919	1654.87804815	3.6	3.6
3021.12349115	1256.91286654	3.6	3.6
3062.22637919	1653.87804815	3.6	3.6
3020.12349115	1255.91286654	3.6	3.6
3061.22637919	1652.87804815	3.6	3.6
3019.12349115	1254.91286654	3.6	3.6
3060.22637919	1651.87804815	3.6	3.6
3018.12349115	1253.91286654	3.6	3.6
3059.22637919	1650.87804815	3.6	3.6
3017.12349115	1252.91286654	3.6	3.6
3058.22637919	1649.87804815	3.6	3.6
3016.12349115	1251.91286654	3.6	3.6
3057.22637919	1648.87804815	3.6	3.6
3015.12349115	1250.91286654	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
3160.26153095	1330.69730739	3.6	3.6
3206.40315809	1776.46339892	3.6	3.6
3159.26153095	1329.69730739	3.6	3.6
3205.40315809	1775.46339892	3.6	3.6
3158.26153095	1328.69730739	3.6	3.6
3204.40315809	1774.46339892	3.6	3.6
3157.26153095	1327.69730739	3.6	3.6
3203.40315809	1773.46339892	3.6	3.6
3156.26153095	1326.69730739	3.6	3.6
3202.40315809	1772.46339892	3.6	3.6
3155.26153095	1325.69730739	3.6	3.6
3201.40315809	1771.46339892	3.6	3.6
3154.26153095	1324.69730739	3.6	3.6
3200.40315809	1770.46339892	3.6	3.6
3153.26153095	1323.69730739	3.6	3.6
3199.40315809	1769.46339892	3.6	3.6
3152.26153095	1322.69730739	3.6	3.6
3198.40315809	1768.46339892	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
3401.24164904	1892.49331897	3.6	3.6
3433.84957926	1456.15703294	3.6	3.6
3400.24164904	1891.49331897	3.6	3.6
3432.84957926	1455.15703294	3.6	3.6
3399.24164904	1890.49331897	3.6	3.6
3431.84957926	1454.15703294	3.6	3.6
3398.24164904	1889.49331897	3.6	3.6
3430.84957926	1453.15703294	3.6	3.6
3397.24164904	1888.49331897	3.6	3.6
3429.84957926	1452.15703294	3.6	3.6
3396.24164904	1887.49331897	3.6	3.6
3428.84957926	1451.15703294	3.6	3.6
3395.24164904	1886.49331897	3.6	3.6
3427.84957926	1450.15703294	3.6	3.6
3394.24164904	1885.49331897	3.6	3.6
3426.84957926	1449.15703294	3.6	3.6
3393.24164904	1884.49331897	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
3544.59848508	1975.98267551	3.6	3.6
3577.91794477	1551.63851713	3.6	3.6
3543.59848508	1974.98267551	3.6	3.6
3576.91794477	1550.63851713	3.6	3.6
3542.59848508	1973.98267551	3.6	3.6
3575.91794477	1549.63851713	3.6	3.6
3541.59848508	1972.98267551	3.6	3.6
3574.91794477	1548.63851713	3.6	3.6
3540.59848508	1971.98267551	3.6	3.6
3573.91794477	1547.63851713	3.6	3.6
3539.59848508	1970.98267551	3.6	3.6
3572.91794477	1546.63851713	3.6	3.6
3538.59848508	1969.98267551	3.6	3.6
3571.91794477	1545.63851713	3.6	3.6
3537.59848508	1968.98267551	3.6	3.6
3570.91794477	1544.63851713	3.6	3.6
3536.59848508	1967.98267551	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
1.0	1.0	3.6	3.6
3660.18249894	2036.72554778	3.6	3.6
3690.16299521	1627.2227417	3.6	3.6
3659.18249894	2035.72554778	3.6	3.6
3689.16299521	1626.2227417	3.6	3.6
3658.18249894	2034.72554778	3.6	3.6
3688.16299521	1625.2227417	3.6	3.6
3657.18249894	2033.72554778	3.6	3.6
3687.16299521	1624.2227417	3.6	3.6
